title,author,genres,description,published_year,average_rating,num_pages,ratings_count
The Snowman,"Jo Nesbø (Goodreads Author), Don Bartlett (Translator)","['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Scandinavian Literature', 'Suspense', 'Detective', 'Nordic Noir', 'Audiobook']","V Osle napadol prvý sneh. Jonas ráno vstane a zistí, že jeho matka zmizla. Ostane po nej jediná stopa – ružový šál, čo jej daroval na Vianoce. Má ho na krku snehuliak. Predošlú noc sa nečakane zjavil na dvore a jeho čierne oči hľadia priamo do domu.Prípad rieši inšpektor Harry Hole, ktorý nedávno dostal tajomný list s podpisom Snehuliak. Situácia sa ešte väčšmi zamotáva, keď Harry zistí, že tento model sa opakuje – za posledných desať rokov sa stratilo jedenásť žien, a to vždy presne v deň, keď napadol prvý sneh. Vyšetrovanie je pre Harryho o to zložitejšie, že sa týka jeho novej kolegyne, ale aj milovanej Rachel. Prípad Snehuliak ho privádza na pokraj šialenstva.Brilantne vykreslené postavy a gradujúce napätie sú zárukou napínavého príbehu, aký vie napísať len majster súčasných trilerov Jo Nesbo.",2011,4.01,383,109895
The Twits,"Roald Dahl, Quentin Blake (Illustrator)","['Childrens', 'Fiction', 'Fantasy', 'Classics', 'Humor', 'Young Adult', 'Middle Grade', 'Novels', 'British Literature', 'Juvenile']","How do you outwit a Twit? Mr. and Mrs. Twit are the smelliest, ugliest people in the world. They hate everything -- except playing mean jokes on each other, catching innocent birds to put in their Bird Pies, and making their caged monkeys, the Muggle-Wumps, stand on their heads all day. But the Muggle-Wumps have had enough. They don't just want out, they want revenge.",2004,3.97,96,118212
Enna Burning,Shannon Hale (Goodreads Author),"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Fairy Tales', 'Adventure', 'Magic', 'Young Adult Fantasy', 'Teen', 'Middle Grade']","Enna and Princess Isi became fast friends in The Goose Girl, but after Isi married Prince Geric, Enna returned to the forest. Enna's simple life changes forever when she learns to wield fire and burn anything at will. Enna is convinced that she can use her ability for good--to fight Tira, the kingdom threatening the Bayern borders--and goes on secret raids to set fire to the Tiran camps and villages. But as the power of the fire grows stronger, she is less able to control her need to burn. In her recklessness she is captured by the Tiran army and held captive by a handsome, manipulative young captain who drugs her to keep her under his influence. Can Isi and her old friends Finn and Razo rescue her without sacrificing themselves? And with the fire still consuming her, will Enna find a way to manage the gift that threatens to destroy her?",2006,3.98,317,38941
The Second Sex,"Simone de Beauvoir, H.M. Parshley (Translator & Editor), Deirdre Bair (Introduction)","['Feminism', 'Nonfiction', 'Philosophy', 'Classics', 'Gender', 'Womens', 'France', 'Sociology', 'Gender Studies', 'Politics']","Newly translated and unabridged in English for the first time, Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman,” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking, Beauvoir’s pioneering and impressive text remains as pertinent today as it was back then, and will continue to provoke and inspire generations of men and women to come.",1989,4.13,746,30551
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth (Goodreads Author),"['Young Adult', 'Dystopia', 'Short Stories', 'Science Fiction', 'Fantasy', 'Fiction', 'Romance', 'Novella', 'Post Apocalyptic', 'Teen']","#1 New York Times bestselling author Veronica Roth retells a pivotal Divergent scene (chapter 13) from Tobias's point of view. This thirteen-page scene reveals unknown facts and fascinating details about Four's character, his past, his own initiation, and his thoughts about new Dauntless initiate Tris Prior.",2012,4.15,43,92872
A Hunger Like No Other,Kresley Cole (Goodreads Author),"['Paranormal', 'Paranormal Romance', 'Romance', 'Vampires', 'Fantasy', 'Urban Fantasy', 'Adult', 'Werewolves', 'Shapeshifters', 'Supernatural']","In New York Times and USA TODAY bestselling author Kresley Cole’s sizzling series, a fierce werewolf and a bewitching vampire become unlikely soul mates whose passion will test the boundaries of life and death.After enduring years of torture from the vampire horde, Lachlain MacRieve, leader of the Lykae Clan, is enraged to find the predestined mate he’s waited millennia for is a vampire. Or partly one. Emmaline Troy is a small, ethereal half Valkyrie/half vampire, who somehow begins to soothe the fury burning within him.Sheltered Emmaline finally sets out to uncover the truth about her deceased parents—until a powerful Lykae claims her as his mate and forces her back to his ancestral Scottish castle. There, her fear of the Lykae—and their notorious dark desires—ebbs as he begins a slow, wicked seduction to sate her own dark cravings.Yet when an ancient evil from her past resurfaces, will their desire deepen into a love that can bring a proud warrior to his knees and turn a gentle beauty into the fighter she was born to be?",2006,4.17,360,67048
Rage of Angels,Sidney Sheldon,"['Fiction', 'Thriller', 'Mystery', 'Romance', 'Suspense', 'Mystery Thriller', 'Crime', 'Drama', 'Novels', 'Adult']","A worldwide bestseller first published in 1980, this novel tells the story of Jennifer Parker, a successful lawyer who is loved by two men, one a politician, the other, a mafia don.",1999,3.94,512,34887
Stones (One True Child #5),L.C. Conn (Goodreads Author),"['Book Club', 'Novels', 'Fiction', 'Drama', 'Contemporary']","Deep within the New Zealand bush, lies a plateau with a clearing, covered over by many years of fallen leaves, leaving it damp and dark. Hidden just beneath the surface are the STONES - green and still polished smooth - placed long ago by the Guardians. Still pulsating with power, they are about to bear witness to a great battle between light and darkness.  Claire Drummond is in danger, her very life depends on the actions and help of her husband and family, as well as the man she thought had left her life for good, Tony Benning. Caught up once more in the heavy turmoil of good vs evil, Claire has much more to fight for than just a cluster of stones in the highlands of Scotland.  This time it’s personal.  This time Marcus Ryder has her daughter.",2019,4.3,327,553
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,"['Nonfiction', 'Science', 'History', 'Medical', 'Medicine', 'Horror', 'Thriller', 'Health', 'Africa', 'Biology']","A highly infectious, deadly virus from the central African rain forest suddenly appears in the suburbs of Washington, D.C. There is no cure. In a few days 90 percent of its victims are dead. A secret military SWAT team of soldiers and scientists is mobilized to stop the outbreak of this exotic ""hot"" virus. The Hot Zone tells this dramatic story, giving a hair-raising account of the appearance of rare and lethal viruses and their ""crashes"" into the human race. Shocking, frightening, and impossible to ignore, The Hot Zone proves that truth really is scarier than fiction.",1999,4.13,352,98213
The Tattooist of Auschwitz,Heather Morris (Goodreads Author),"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Holocaust', 'War', 'Romance', 'Adult', 'Adult Fiction']","In April 1942, Lale Sokolov, a Slovakian Jew, is forcibly transported to the concentration camps at Auschwitz-Birkenau. When his captors discover that he speaks several languages, he is put to work as a Tätowierer (the German word for tattooist), tasked with permanently marking his fellow prisoners.Imprisoned for more than two and a half years, Lale witnesses horrific atrocities and barbarism—but also incredible acts of bravery and compassion. Risking his own life, he uses his privileged position to exchange jewels and money from murdered Jews for food to keep his fellow prisoners alive.One day in July 1942, Lale, prisoner 32407, comforts a trembling young woman waiting in line to have the number 34902 tattooed onto her arm. Her name is Gita, and in that first encounter, Lale vows to somehow survive the camp and marry her.A vivid, harrowing, and ultimately hopeful re-creation of Lale Sokolov's experiences as the man who tattooed the arms of thousands of prisoners with what would become one of the most potent symbols of the Holocaust, The Tattooist of Auschwitz is also a testament to the endurance of love and humanity under the darkest possible conditions.",2018,4.25,262,464207
Follow the River,James Alexander Thom,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Survival', 'American History', 'Book Club', 'Westerns', 'Adult Fiction', 'Adult']","Mary Ingles was twenty-three, married, and pregnant, when Shawnee Indians invaded her peaceful Virginia settlement, killed the men and women, then took her captive. For months, she lived with them, unbroken, until she escaped, and followed a thousand mile trail to freedom--an extraordinary story of a pioneer woman who risked her life to return to her people.",1986,4.22,406,18013
Baby,J.K. Accinni,"['Science Fiction', 'Horror', 'Aliens', 'Fantasy', 'Thriller', 'Dystopia', 'Paranormal', 'Fiction', 'Dark', 'Wildlife']","A gripping psychological thriller on the inherent greed and evil of man, dooming the planet.Two hundred years of tender love between man and alien, political downfalls, wanton violence of unspeakable order tempered with laughter, family loyalty and hope is the thrilling vehicle by which Ms Accinni conveys her cautionary tale of the merciless disrespect man gives his planet and the vulnerable creatures entrusted to him. ""Baby"" introduces Netty, a naive teenage farm girl given in marriage to an older brutal opportunist disguised as a successful citizen during the years of Prohibition in Sussex County, New Jersey. After years of enslavement, Netty flees into the night from her rapist and bootlegger husband, traveling back to the farm worked by her parents, where she rescues an unfamiliar damaged creature she finds in a cave in the woods of her childhood, falling in love with the enigmatic alien she names Baby. Together they find happiness and fulfillment despite the changes to Netty's body wrought by the proximity of the unusual creature.Damaged by entry into our atmosphere while pregnant, the confused creature forgets the purpose of his mission, appearing unconcerned with the disappearance of his offspring and savoring the unexpected joy of the love he shares with young Netty.When a handsome Italian stranger comes into Netty's life, complications ensue as she falls in love while trying to hide the bizarre and wondrous changes to her farm and her body. Netty, Baby and Wil strive to conquer obstacles thrown in their path by life, succeeding wildly until the heart-rending and astonishingly brutal climax to their story.This charming, yet brutal story is the prologue to a series that will chill and surprise you as it foretells the selfishly destructive path man has followed since his species evolved. It pulls no punches while allowing Netty and Baby's influence to transcend mortal life as the world dances toward depraved indifference, introducing other characters along the ride that readers will laugh,shed tears with and learn to despise.What lengths will Baby and his offspring go to complete their mission? Will it spell Armageddon for the beleaguered planet with its vulnerable and exploited creatures or will man tip the scales himself, leaving those that love the creatures to salvage the pitiful ruins?",2012,3.81,173,855
El túnel,"Ernesto Sabato, Nino Pipia (Translator)","['Fiction', 'Classics', 'Spanish Literature', 'Novels', 'Literature', 'Latin American', 'Latin American Literature', 'School', '20th Century', 'Thriller']","Breve e intensa novela publicada en 1948, este logrado fruto de la denominada ""literatura existencial"" le dio a su autor un reconocimiento que traspasó las fronteras nacionales. Para quien todavía no la leyó, El túnel es la mejor introducción al universo prodigioso de Ernesto Sábato; para quien la conoce, un clásico de las letras del continente, una historia sobre el drama del hombre arrojado en el sinsentido más doloroso: la conciencia de la nada. El narrador describe una historia de amor y muerte en la que muestra la soledad del individuo contemporáneo. No están ausentes de esta trama policial y de suspenso, la locura y la increíble reflexión del protagonista, el pintor Juan Pablo Castel, debatiéndose por comprender las causas que lo arrastraron a matar a la mujer que amaba, María Iribarne, y que era su única vía de salvación. En este alucinante drama de la vida interior, seres intrincados en la bestial búsqueda de comprensión ceden a la mentira, la hipocresía y los celos desmedidos hasta el crimen más inexplicable. Aventura amorosa, aventura onírica, aventura del ser que dan testimonio de un asesinato, de cierta memoria culpable y de una valiente introspección. Técnicamente perfecta y de lectura apasionante, El túnel excede el negativismo ácido de Sartre y la frenética huida hacia el vacío que plantea El extranjero de Camus, pero tiene de esos dos maestros literarios la impronta genial que hace de la escritura una radiografía del alma atormentada.",2003,4.05,158,45633
The Constant Princess,Philippa Gregory (Goodreads Author),"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Tudor Period', 'British Literature', 'Adult', 'Historical Romance', 'Adult Fiction', 'Audiobook']","Splendid and sumptuous historical novel from the internationally bestselling author, Philippa Gregory, telling of the early life of Katherine of Aragon.We think of Katherine of Aragon as the barren wife of a notorious king; but behind this legacy lies a fascinating story.Katherine of Aragon is born Catalina, the Spanish Infanta, to parents who are both rulers and warriors. Aged four, she is betrothed to Arthur, Prince of Wales, and is raised to be Queen of England. She is never in doubt that it is her destiny to rule that far-off, wet, cold land.Her faith is tested when her prospective father-in-law greets her arrival in her new country with a great insult; Arthur seems little better than a boy; the food is strange and the customs coarse. Slowly she adapts to the first Tudor court, and life as Arthur’s wife grows ever more bearable.But when the studious young man dies, she is left to make her own future: how can she now be queen, and found a dynasty? Only by marrying Arthur’s young brother, the sunny but spoilt Henry. His father and grandmother are against it; her powerful parents prove little use. Yet Katherine is her mother’s daughter and her fighting spirit is strong.She will do anything to achieve her aim; even if it means telling the greatest lie, and holding to it.",2006,3.91,390,149766
"Fruits Basket, Vol. 1","Natsuki Takaya, Alethea Nibley (Translator), Athena Nibley (Translator)","['Manga', 'Fantasy', 'Graphic Novels', 'Romance', 'Young Adult', 'Comics', 'Fiction', 'Anime', 'Shojo', 'Comics Manga']","A family with an ancient curse...

And the girl who will change their lives forever...

Tohru Honda was an orphan with no place to go until the mysterious Sohma family offered her a place to call home. Now her ordinary high school life is turned upside down as she's introduced to the Sohma's world of magical curses and family secrets.",2004,4.24,216,146791
Under the Volcano,Malcolm Lowry,"['Fiction', 'Classics', 'Literature', 'Novels', 'British Literature', '20th Century', 'Historical Fiction', 'Literary Fiction', 'Unfinished', 'English Literature']","Geoffrey Firmin, a former British consul, has come to Quauhnahuac, Mexico. His debilitating malaise is drinking, an activity that has overshadowed his life. On the most fateful day of the consul's life—the Day of the Dead—his wife, Yvonne, arrives in Quauhnahuac, inspired by a vision of life together away from Mexico and the circumstances that have driven their relationship to the brink of collapse. She is determined to rescue Firmin and their failing marriage, but her mission is further complicated by the presence of Hugh, the consul's half brother, and Jacques, a childhood friend. The events of this one significant day unfold against an unforgettable backdrop of a Mexico at once magical and diabolical.Under the Volcano remains one of literature's most powerful and lyrical statements on the human condition, and a brilliant portrayal of one man's constant struggle against the elemental forces that threaten to destroy him.",2000,3.79,397,21739
Fade Out,Rachel Caine (Goodreads Author),"['Vampires', 'Young Adult', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Supernatural', 'Fiction', 'Paranormal Romance', 'Teen']","Withoutthe evil vampire Bishop ruling over the town of Morganville,the resident vampires have made major concessions to the human population. With their newfound freedoms, Claire Danvers and her friends are almost starting to feel comfortable again…  Now Claire can actually concentrate on her studies, and her friend Eve joins the localtheatrecompany. But when one of Eve’s castmates goes missingafter starting work on a shortdocumentary, Eve suspects the worst. Claire and Eve soon realize that this film project, whose subjectis the vampires themselves, is a wholelot bigger—andway more dangerous—than anyone suspected.",2009,4.19,237,37990
The Silent Patient,Alex Michaelides (Goodreads Author),"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Adult', 'Psychological Thriller', 'Contemporary']","Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him...",2019,4.09,325,507237
The Electric Kool-Aid Acid Test,Tom Wolfe,"['Nonfiction', 'History', 'Classics', 'Journalism', 'Biography', 'Memoir', 'Literature', 'American', 'Cultural', 'Counter Culture']","Tom Wolfe's much-discussed kaleidoscopic non-fiction novel chronicles the tale of novelist Ken Kesey and his band of Merry Pranksters. In the 1960s, Kesey led a group of psychedelic sympathizers around the country in a painted bus, presiding over LSD-induced ""acid tests"" all along the way. Long considered one of the greatest books about the history of the hippies, Wolfe's ability to research like a reporter and simultaneously evoke the hallucinogenic indulgence of the era ensures that this book, written in 1967, will live long in the counter-culture canon of American literature.",1999,3.92,416,69068
Heart of Darkness and The Secret Sharer,Joseph Conrad,"['Classics', 'Fiction', 'Literature', 'School', 'Africa', 'Historical Fiction', 'Novels', 'Read For School', 'Classic Literature', 'High School']","Heart Of Darkness. The story of the civilized, enlightened Mr. Kurtz who embarks on a harrowing ""night journey"" into the savage heart of Africa, only to find his dark and evil soul. The Secret Sharer. The saga of a young, inexperienced skipper forced to decide the fate of a fugitive sailor who killed a man in self-defense. As he faces his first moral test the skipper discovers a terrifying truth -- and comes face to face with the secret itself. Heart Of Darkness and The Secret Sharer draw on actual events and people that Conrad met or heard about during his many far-flung travels. In portraying men whose incredible journeys on land and at sea are also symbolic voyages into their own mysterious depths, these two masterful works give credence to Conrad's acclaim as a major psychological writer.",1997,3.5,176,16447
The Testament,"John Grisham (Goodreads Author), Jorma-Veikko Sappinen (Translator)","['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Suspense', 'Crime', 'Mystery Thriller', 'Law', 'Adult Fiction', 'Novels']","In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.",1999,3.86,535,106005
These Happy Golden Years,"Laura Ingalls Wilder, Garth Williams (Illustrator)","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Romance', 'Juvenile', 'Family']","Fifteen-year-old Laura lives apart from her family for the first time, teaching school in a claim shanty twelve miles from home. She is very homesick, but keeps at it so that she can help pay for her sister Mary's tuition at the college for the blind. During school vacations Laura has fun with her singing lessons, going on sleigh rides, and best of all, helping Almanzo Wilder drive his new buggy. Friendship soon turns to love for Laura and Almanzo in the romantic conclusion of this Little House book.Correlates to the Common Core State Standards in English Language Arts",1953,4.19,289,66690
The House at Pooh Corner,"A.A. Milne, Ernest H. Shepard (Illustrations)","['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Audiobook', 'Picture Books', 'Young Adult', 'Middle Grade', 'Short Stories']","Winnie-the-Pooh, the Best Bear in All the World, has long been adored by readers young and old. In this beautiful full-color gift edition of ""The House at Pooh Corner, "" Ernest H. Shepard's classic illustrations have been painstakingly hand-colored. An exquisite volume and the perfect gift for any occasion, this book is as vivid and charming as the beloved characters from the Hundred Acre Wood.",1988,4.36,180,81492
Night Play,Sherrilyn Kenyon (Goodreads Author),"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Shapeshifters', 'Adult', 'Mythology', 'Fiction']","Bride McTierney has had it with men. They're cheap, self-centered, and never love her for who she is. But though she prides herself on being independent, deep down she still yearns for a knight in shining armor.She just never expected her knight in shining armor to have a shiny coat of fur...Deadly and tortured, Vane Kattalakis isn't what he seems. Most women lament that their boyfriends are dogs. In Bride's case, hers is a wolf. A Were-Hunter wolf. Wanted dead by his enemies, Vane isn't looking for a mate. But the Fates have marked Bride as his. Now he has three weeks to either convince Bride that the supernatural is real or he will spend the rest of his life neutered—something no self-respecting wolf can accept...But how does a wolf convince a human to trust him with her life when his enemies are out to end his? In the world of the Were-Hunters, it really is dog-eat-dog. And only one alpha male can win.",2004,4.35,362,50387
The Novice,Trudi Canavan,"['Fantasy', 'Magic', 'Young Adult', 'Fiction', 'High Fantasy', 'Epic Fantasy', 'Adventure', 'Science Fiction Fantasy', 'Romance', 'Adult']","""Even if a magician's powers surface of their own accord, he will soon be dead if he does not gain the knowledge of how to control them."" Alone among all the novices in the Magicians' Guild, only Sonea comes from lowly beginnings. Yet she has won powerful allies—including Lord Dannyl, newly promoted to Guild Ambassador. But Dannyl must now depart for the Elyne court, leaving Sonea at the mercy of the lies and malicious rumors her enemies are busy spreading ... until the High Lord Akkarin steps in. The price of Akkarin's support is dear, however, because Sonea, in turn, must protect his mysteries and a secret that could lead a young novice mage deep into the darkness. Meanwhile, Dannyl's first order to resume High Lord Akkarin's long abandoned research into ancient magical knowledge is setting him on an extraordinary journey fraught with unanticipated peril as he moves ever-closer to a future both wondrous ... and terrible.",2004,4.05,577,51504
The Tea Rose,Jennifer Donnelly (Goodreads Author),"['Historical Fiction', 'Romance', 'Fiction', 'Historical', 'Historical Romance', 'Adult', 'British Literature', 'Mystery', 'Chick Lit', '19th Century']","East London, 1888 - a city apart. A place of shadow and light where thieves, whores, and dreamers mingle, where children play in the cobbled streets by day and a killer stalks at night, where bright hopes meet the darkest truths. Here, by the whispering waters of the Thames, Fiona Finnegan, a worker in a tea factory, hopes to own a shop one day, together with her lifelong love, Joe Bristow, a costermonger's son. With nothing but their faith in each other to spur them on, Fiona and Joe struggle, save, and sacrifice to achieve their dreams.But Fiona's life is shattered when the actions of a dark and brutal man take from her nearly everything-and everyone-she holds dear. Fearing her own death, she is forced to flee London for New York. There, her indomitable spirit propels her rise from a modest West Side shop-front to the top of Manhattan's tea trade. But Fiona's old ghosts do not rest quietly, and to silence them, she must venture back to the London of her childhood, where a deadly confrontation with her past becomes the key to her future.",2006,4.19,675,32283
Brida,"Paulo Coelho (Goodreads Author), Montserrat Mira (Translator)","['Fiction', 'Fantasy', 'Philosophy', 'Novels', 'Romance', 'Spirituality', 'Inspirational', 'Literature', 'Magical Realism', 'Contemporary']","O livro conta a história de Brida O' Fern, uma irlandesa de 21 anos em busca da magia e dos poderes ocultos. Durante sua busca, Brida conhece um mago, Mago de Folk, que promete ensiná-la através da Tradição do Sol, que explica tudo através da natureza e de suas manifestações divinas. Mas Brida toma, na verdade, como mestra, Wicca, uma bela mulher que lhe ensina através da Tradição da Lua, a antiga Tradição das Bruxas, que explica o Universo através da Sabedoria e do Tempo. Sua evolução espiritual e sua busca pela Outra Parte (a famosa alma gêmea) estão retratadas neste livro emocionante e tão interessante quanto os outros livros do autor - segue contudo, o estilo altamente ""místico"" como ""O Diário de um Mago"" e ""O Alquimista"".",2006,3.48,264,67464
Raintree County,Ross Lockridge Jr.,"['Historical Fiction', 'Fiction', 'Classics', 'Novels', 'Romance', 'Historical', 'War', 'Civil War', 'American', 'Literary Fiction']","Throughout a single day in 1892, John Shawnessy recalls the great moments of his lifefrom the love affairs of his youth in Indiana, to the battles of the Civil War, to the politics of the Gilded Age, to his homecoming as schoolteacher, husband, and father. Shawnessy is the epitome of the place and period in which he lives, a rural land of springlike women, shady gamblers, wandering vagabonds, and soapbox orators. Yet here on the banks of the Shawmucky River, which weaves its primitive course through Raintree County, Indiana, he also feels and obeys ancient rhythms. A number-one bestseller when it was first published in 1948, this powerful novel is a compelling vision of 19th-century America with timeless resonance.",1994,3.95,1088,941
Bumi Manusia,Pramoedya Ananta Toer,"['Fiction', 'Historical Fiction', 'Novels', 'Indonesian Literature', 'Literature', 'Classics', 'Asia', 'Romance', 'Historical', 'Asian Literature']","Roman Tetralogi Buru mengambil latar belakang dan cikal bakal nation Indonesia di awal abad ke-20. Dengan membacanya waktu kita dibalikkan sedemikian rupa dan hidup di era membibitnya pergerakan nasional mula-mula, juga pertautan rasa, kegamangan jiwa, percintaan, dan pertarungan kekuatan anonim para srikandi yang mengawal penyemaian bangunan nasional yang kemudian kelak melahirkan Indonesia modern.Roman bagian pertama; Bumi Manusia, sebagai periode penyemaian dan kegelisahan dimana Minke sebagai aktor sekaligus kreator adalah manusia berdarah priyayi yang semampu mungkin keluar dari kepompong kejawaannya menuju manusia yang bebas dan merdeka, di sudut lain membelah jiwa ke-Eropa-an yang menjadi simbol dan kiblat dari ketinggian pengetahuan dan peradaban.Pram menggambarkan sebuah adegan antara Minke dengan ayahnya yang sangat sentimentil: Aku mengangkat sembah sebagaimana biasa aku lihat dilakukan punggawa terhadap kakekku dan nenekku dan orangtuaku, waktu lebaran. Dan yang sekarang tak juga kuturunkan sebelum Bupati itu duduk enak di tempatnya. Dalam mengangkat sembah serasa hilang seluruh ilmu dan pengetahuan yang kupelajari tahun demi tahun belakangan ini. Hilang indahnya dunia sebagaimana dijanjikan oleh kemajuan ilmu .... Sembah pengagungan pada leluhur dan pembesar melalui perendahan dan penghinaan diri! Sampai sedatar tanah kalau mungkin! Uh, anak-cucuku tak kurelakan menjalani kehinaan ini.""Kita kalah, Ma,"" bisikku.""Kita telah melawan, Nak, Nyo, sebaik-baiknya, sehormat-hormatnya.""",2005,4.4,535,15911
Magic Burns,Ilona Andrews (Goodreads Author),"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Magic', 'Vampires', 'Romance', 'Paranormal Romance', 'Shapeshifters', 'Adult', 'Werewolves']","Down in Atlanta, tempers – and temperatures – are about to flare…As a mercenary who cleans up after magic gone wrong, Kate Daniels has seen her share of occupational hazards. Normally, waves of paranormal energy ebb and flow across Atlanta like a tide. But once every seven years, a flare comes, a time when magic runs rampant. Now Kate’s going to have to deal with problems on a much bigger scale: a divine one.When Kate sets out to retrieve a set of stolen maps for the Pack, Atlanta’s paramilitary clan of shapeshifters, she quickly realizes much more at stake. During a flare, gods and goddesses can manifest – and battle for power. The stolen maps are only the opening gambit in an epic tug-of-war between two gods hoping for rebirth. And if Kate can’t stop the cataclysmic showdown, the city may not survive…",2008,4.32,261,73325
Saphirblau,Kerstin Gier,"['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Science Fiction', 'Fiction', 'Paranormal', 'Historical', 'Urban Fantasy']","Frisch verliebt in die Vergangenheit, das ist vielleicht keine gute Idee. Das zumindest findet Gwendolyn, 16 Jahre alt, frisch gebackene Zeitreisende. Schließlich haben sie und Gideon ganz andere Probleme. Zum Beispiel die Welt zu retten. Oder Menuett tanzen zu lernen. (Beides nicht wirklich einfach!)Als Gideon dann auch noch anfängt, sich völlig rätselhaft zu benehmen, wird Gwendolyn klar, dass sie schleunigst ihre Hormone in den Griff bekommen muss. Denn sonst wird das nichts mit der Liebe zwischen allen Zeiten!",2010,4.16,389,75054
Percy Jackson's Greek Gods,"Rick Riordan (Goodreads Author), John Rocco (Illustrator)","['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Greek Mythology', 'Adventure', 'Humor', 'Childrens', 'Audiobook']","""A publisher in New York asked me to write down what I know about the Greek gods, and I was like, Can we do this anonymously? Because I don't need the Olympians mad at me again. But if it helps you to know your Greek gods, and survive an encounter with them if they ever show up in your face, then I guess writing all this down will be my good deed for the week."" So begins Percy Jackson's Greek Gods, in which the son of Poseidon adds his own magic--and sarcastic asides--to the classics. He explains how the world was created, then gives readers his personal take on a who's who of ancients, from Apollo to Zeus. Percy does not hold back. ""If you like horror shows, blood baths, lying, stealing, backstabbing, and cannibalism, then read on, because it definitely was a Golden Age for all that."" Dramatic full-color illustrations throughout by Caldecott Honoree John Rocco make this volume--a must for home, library, and classroom shelves--as stunning as it is entertaining.",2014,4.49,417,52848
Housekeeping,Marilynne Robinson,"['Fiction', 'Novels', 'Literary Fiction', 'Classics', 'Literature', 'Contemporary', 'American', 'Coming Of Age', 'Book Club', 'Family']","A modern classic, Housekeeping is the story of Ruth and her younger sister, Lucille, who grow up haphazardly, first under the care of their competent grandmother, then of two comically bumbling great-aunts, and finally of Sylvie, their eccentric and remote aunt. The family house is in the small Far West town of Fingerbone set on a glacial lake, the same lake where their grandfather died in a spectacular train wreck, and their mother drove off a cliff to her death. It is a town ""chastened by an outsized landscape and extravagant weather, and chastened again by an awareness that the whole of human history had occurred elsewhere."" Ruth and Lucille's struggle toward adulthood beautifully illuminates the price of loss and survival, and the dangerous and deep undertow of transience.",2004,3.81,219,43501
"Alas, Babylon",Pat Frank,"['Fiction', 'Science Fiction', 'Post Apocalyptic', 'Classics', 'Apocalyptic', 'Dystopia', 'Survival', 'Science Fiction Fantasy', 'Audiobook', 'Literature']","""Alas, Babylon."" Those fateful words heralded the end. When a nuclear holocaust ravages the United States, a thousand years of civilization are stripped away overnight, and tens of millions of people are killed instantly. But for one small town in Florida, miraculously spared, the struggle is just beginning, as men and women of all backgrounds join together to confront the darkness.",2005,4.08,323,39025
